searge,name,desc
net.minecraft.world.level.storage.loot.functions.SetEnchantmentsFunction,net.minecraft.world.level.storage.loot.functions.SetEnchantmentsFunction,"LootItemFunction that sets a stack's enchantments. If {@code add} is set, will add to any already existing enchantment levels instead of replacing them (ignored for enchanted books)."
net.minecraft.world.level.storage.loot.providers.score.ScoreboardNameProvider,net.minecraft.world.level.storage.loot.providers.score.ScoreboardNameProvider,Provides a scoreboard name based on a {@link LootContext}.
net.minecraft.world.item.alchemy.Potion,net.minecraft.world.item.alchemy.Potion,Defines a type of potion in the game. These are used to associate one or more effects with items such as the bottled potion or the tipped arrows.
net.minecraft.network.RateKickingConnection,net.minecraft.network.RateKickingConnection,Variant of {@link Connection} that monitors the amount of received packets and disables receiving if the set limit is exceeded.
net.minecraft.world.level.storage.loot.functions.ExplorationMapFunction,net.minecraft.world.level.storage.loot.functions.ExplorationMapFunction,"Convert any empty maps into explorer maps that lead to a structure that is nearest to the current {@linkplain LootContextParams.ORIGIN}, if present."
net.minecraft.world.level.storage.loot.entries.TagEntry,net.minecraft.world.level.storage.loot.entries.TagEntry,"A loot pool entry container that generates based on an item tag.\nIf {@code expand} is set to true, it will expand into separate LootPoolEntries for every item in the tag, otherwise it will simply generate all items in the tag."
net.minecraft.world.level.storage.loot.predicates.ExplosionCondition,net.minecraft.world.level.storage.loot.predicates.ExplosionCondition,A LootItemCondition that checks whether an item should survive from an explosion or not.\nThis condition checks the {@linkplain LootContextParams#EXPLOSION_RADIUS explosion radius loot parameter}.
net.minecraft.world.level.chunk.storage.RegionBitmap,net.minecraft.world.level.chunk.storage.RegionBitmap,Keeps track of which parts of a region file are used and which parts are free.
net.minecraft.network.Varint21LengthFieldPrepender,net.minecraft.network.Varint21LengthFieldPrepender,"Prepends each frame (""packet"") with its length encoded as a VarInt. Every frame's length must fit within a 3-byte VarInt.\n\n@see Varint21FrameDecoder"
net.minecraft.world.level.storage.loot.predicates.DamageSourceCondition,net.minecraft.world.level.storage.loot.predicates.DamageSourceCondition,A LootItemCondition which checks {@link LootContextParams#ORIGIN} and {@link LootContextParams#DAMAGE_SOURCE} against a {@link DamageSourcePredicate}.
net.minecraft.world.level.levelgen.Beardifier,net.minecraft.world.level.levelgen.Beardifier,Modifies terrain noise to be flatter near structures such as villages.
net.minecraft.world.level.storage.loot.functions.CopyBlockState,net.minecraft.world.level.storage.loot.functions.CopyBlockState,"LootItemFunction that copies a set of block state properties to the {@code ""BlockStateTag""} NBT tag of the ItemStack.\nThis tag is checked when the block is placed."
net.minecraft.world.level.storage.loot.predicates.LootItemConditions,net.minecraft.world.level.storage.loot.predicates.LootItemConditions,Registry for {@link LootItemConditionType}.\n\n@see LootItemCondition
com.mojang.blaze3d.audio.OggAudioStream,com.mojang.blaze3d.audio.OggAudioStream,An implementation of the {@link AudioStream} interface that reads Ogg Vorbis audio data from an {@link InputStream}.
net.minecraft.network.protocol.handshake.ServerHandshakePacketListener,net.minecraft.network.protocol.handshake.ServerHandshakePacketListener,PacketListener for the server side of the HANDSHAKING protocol.
net.minecraft.world.level.levelgen.structure.BoundingBox,net.minecraft.world.level.levelgen.structure.BoundingBox,"A simple three-dimensional mutable integer bounding box.\nNote that this box is both mutable, and has an implementation of {@code hashCode()} and {@code equals()}.\nThis can be used as {@code HashMap} keys for example, if the user can ensure the instances themselves are not modified."
net.minecraft.client.gui.components.tabs.TabNavigationBar$Builder,net.minecraft.client.gui.components.tabs.TabNavigationBar$Builder,Builder class for creating a TabNavigationBar instance.
net.minecraft.client.sounds.SoundEngineExecutor,net.minecraft.client.sounds.SoundEngineExecutor,"The SoundEngineExecutor class is responsible for executing sound-related tasks in a separate thread.\n<p>\nIt extends the BlockableEventLoop class, providing an event loop for managing and executing tasks."
net.minecraft.world.level.storage.loot.entries.LootPoolEntryContainer,net.minecraft.world.level.storage.loot.entries.LootPoolEntryContainer,Base class for loot pool entry containers. This class just stores a list of conditions that are checked before the entry generates loot.
net.minecraft.stats.Stat,net.minecraft.stats.Stat,"An immutable statistic to be counted for a particular entry in the {@linkplain #type}'s registry. This is used as a key in a {@link net.minecraft.stats.StatsCounter} for a corresponding count.\n<p>\nBy default, the statistic's {@linkplain #getName() name} is formatted {@code <stat type namespace>.<stat type path>:<value namespace>.<value path>}, as created by {@link #buildName(StatType, Object)}.\n\n@param <T> the type of the registry entry for this statistic\n@see net.minecraft.stats.StatType\n@see net.minecraft.stats.Stats"
net.minecraft.world.level.storage.loot.predicates.LootItemEntityPropertyCondition,net.minecraft.world.level.storage.loot.predicates.LootItemEntityPropertyCondition,A LootItemCondition that checks a given {@link EntityPredicate} against a given {@link LootContext.EntityTarget}.
net.minecraft.client.gui.components.events.GuiEventListener,net.minecraft.client.gui.components.events.GuiEventListener,"Represents a listener for GUI events.\n<p>\nIt extends the {@code TabOrderedElement} interface, providing tab order functionality for GUI components."
net.minecraft.network.protocol.status.ClientStatusPacketListener,net.minecraft.network.protocol.status.ClientStatusPacketListener,PacketListener for the client side of the STATUS protocol.
net.minecraft.world.level.storage.loot.entries.EntryGroup,net.minecraft.world.level.storage.loot.entries.EntryGroup,A composite loot pool entry container that expands all its children in order.\nThis container always succeeds.
net.minecraft.stats.StatsCounter,net.minecraft.stats.StatsCounter,"Manages counting a set of {@link net.minecraft.stats.Stat} objects, stored by a map of statistics to their count.\n<p>\nThis base {@code StatsCounter} is only used client-side for keeping track of and reading counts sent from the server.\n\n@see net.minecraft.stats.ServerStatsCounter"
net.minecraft.world.level.storage.loot.functions.CopyNameFunction,net.minecraft.world.level.storage.loot.functions.CopyNameFunction,"LootItemFunction that sets the stack's name by copying it from somewhere else, such as the killing player."
net.minecraft.network.syncher.EntityDataSerializers,net.minecraft.network.syncher.EntityDataSerializers,Registry for {@link EntityDataSerializer}.
net.minecraft.world.level.BlockEventData,net.minecraft.world.level.BlockEventData,@param paramA Different for each blockID
net.minecraft.world.level.storage.loot.entries.DynamicLoot,net.minecraft.world.level.storage.loot.entries.DynamicLoot,A loot pool entry container that will generate the dynamic drops with a given name.\n\n@see LootContext.DynamicDrops
net.minecraft.world.level.storage.loot.LootContextUser,net.minecraft.world.level.storage.loot.LootContextUser,An object that will use some parameters from a LootContext. Used for validation purposes to validate that the correct parameters are present.
net.minecraft.client.sounds.ChannelAccess,net.minecraft.client.sounds.ChannelAccess,The ChannelAccess class provides access to channels for playing audio data using a given library and executor.
net.minecraft.world.level.levelgen.feature.IcebergFeature,net.minecraft.world.level.levelgen.feature.IcebergFeature,"This feature generates part of the icebergs found in frozen oceans.\nSpecifically, it generates tall, triangular prism icebergs, and ""donut"" or torus shaped icebergs.\nOther icebergs are generated by the frozen ocean surface builder instead."
net.minecraft.world.level.storage.loot.predicates.MatchTool,net.minecraft.world.level.storage.loot.predicates.MatchTool,A LootItemCondition that checks the {@linkplain LootContextParams#TOOL tool} against an {@link ItemPredicate}.
net.minecraft.world.level.storage.loot.parameters.LootContextParamSet,net.minecraft.world.level.storage.loot.parameters.LootContextParamSet,"A LootContextParamSet defines a set of required and optional {@link LootContextParam}s.\nThis is used to validate that conditions, functions and other {@link LootContextUser}s only use those parameters that are present for the given loot table.\n\n@see LootContextParamSets\n@see ValidationContext"
net.minecraft.world.level.storage.loot.functions.LootItemFunctionType,net.minecraft.world.level.storage.loot.functions.LootItemFunctionType,The SerializerType for {@link LootItemFunction}.
net.minecraft.world.level.storage.loot.entries.SequentialEntry,net.minecraft.world.level.storage.loot.entries.SequentialEntry,A composite loot pool entry container that expands all its children in order until one of them fails.\nThis container succeeds if all children succeed.
net.minecraft.network.syncher.SynchedEntityData,net.minecraft.network.syncher.SynchedEntityData,Keeps data in sync from server to client for an entity.\nA maximum of 254 parameters per entity class can be registered. The system then ensures that these values are updated on the client whenever they change on the server.\n\nUse {@link #defineId} to register a piece of data for your entity class.\nUse {@link #define} during {@link Entity#defineSynchedData} to set the default value for a given parameter.
net.minecraft.world.level.storage.loot.providers.score.FixedScoreboardNameProvider,net.minecraft.world.level.storage.loot.providers.score.FixedScoreboardNameProvider,A {@link ScoreboardNameProvider} that always provides a fixed name.
net.minecraft.network.protocol.login.ServerLoginPacketListener,net.minecraft.network.protocol.login.ServerLoginPacketListener,PacketListener for the server side of the LOGIN protocol.
net.minecraft.world.level.storage.loot.providers.number.NumberProviders,net.minecraft.world.level.storage.loot.providers.number.NumberProviders,Registration for {@link LootNumberProviderType}.\n\n@see LootNumberProviderType\n@see NumberProvider
net.minecraft.world.level.storage.loot.entries.EmptyLootItem,net.minecraft.world.level.storage.loot.entries.EmptyLootItem,A loot pool entry that does not generate any items.
net.minecraft.world.level.storage.loot.functions.SmeltItemFunction,net.minecraft.world.level.storage.loot.functions.SmeltItemFunction,LootItemFunction that tries to smelt any items using {@link RecipeType.SMELTING}.
net.minecraft.network.protocol.game.ClientboundLoginPacket,net.minecraft.network.protocol.game.ClientboundLoginPacket,@param showDeathScreen Set to false when the doImmediateRespawn gamerule is true
net.minecraft.world.level.chunk.ChunkStatus,net.minecraft.world.level.chunk.ChunkStatus,"The statuses that chunks go through during different phases of generation and loading.\nEach status has an asynchronous task that is completed to generate a chunk, and one to load a chunk up to that status.\nChunks are generated in sequential stages, some of which rely on nearby chunks from the previous stage. To this respect, tasks define a ""range"" that they require chunks to be generated up to the previous stage. This is responsible for the concentric squares seen in the chunk loading screen."
net.minecraft.world.level.levelgen.synth.BlendedNoise,net.minecraft.world.level.levelgen.synth.BlendedNoise,"This class wraps three individual perlin noise octaves samplers.\nIt computes the octaves of the main noise, and then uses that as a linear interpolation value between the minimum and maximum limit noises."
net.minecraft.world.level.storage.loot.providers.nbt.LootNbtProviderType,net.minecraft.world.level.storage.loot.providers.nbt.LootNbtProviderType,The SerializerType for {@link NbtProvider}.
net.minecraft.world.level.storage.loot.predicates.LootItemCondition,net.minecraft.world.level.storage.loot.predicates.LootItemCondition,A condition based on {@link LootContext}.\n\n@see {@link LootItemConditions}\n@see {@link PredicateManager}
net.minecraft.world.level.storage.loot.predicates.ConditionReference,net.minecraft.world.level.storage.loot.predicates.ConditionReference,A LootItemCondition that refers to another LootItemCondition by its ID.
com.mojang.blaze3d.audio.Channel,com.mojang.blaze3d.audio.Channel,Represents an OpenAL audio channel.
net.minecraft.world.level.levelgen.carver.CaveWorldCarver,net.minecraft.world.level.levelgen.carver.CaveWorldCarver,A carver which creates Minecraft's most common cave types.
net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$UniformBonusCount,net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$UniformBonusCount,Adds a bonus count based on the enchantment level scaled by a constant multiplier.
com.mojang.blaze3d.audio.SoundBuffer,com.mojang.blaze3d.audio.SoundBuffer,"The SoundBuffer class represents an audio buffer containing audio data in a particular format.\n\nThe audio data can be used to create an OpenAL buffer, which can be played in a 3D audio environment."
net.minecraft.world.level.storage.loot.providers.number.NumberProvider,net.minecraft.world.level.storage.loot.providers.number.NumberProvider,Provides a float or int based on a {@link LootContext}.
net.minecraft.world.level.chunk.storage.RegionFile,net.minecraft.world.level.chunk.storage.RegionFile,This class handles a single region (or anvil) file and all files for single chunks at chunk positions for that one region file.
net.minecraft.world.level.storage.loot.functions.LootItemFunction,net.minecraft.world.level.storage.loot.functions.LootItemFunction,A LootItemFunction modifies an ItemStack based on the current LootContext.\n\n@see LootItemFunctions
net.minecraft.client.gui.ComponentPath,net.minecraft.client.gui.ComponentPath,Represents a path of components in a user interface hierarchy.\n<p>\nIt provides methods to create and manipulate component paths.
net.minecraft.world.level.storage.loot.functions.SetStewEffectFunction,net.minecraft.world.level.storage.loot.functions.SetStewEffectFunction,LootItemFunction that adds an effect to any suspicious stew items. A random effect is chosen from the given map every time.
com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,com.mojang.blaze3d.audio.OggAudioStream$OutputConcat,"An implementation of the {@link ByteBuffer} class that concatenates multiple byte buffers into a single buffer.\nThe class maintains a list of buffers and a byte count, and adds new data to the current buffer until it is full.\nWhen the current buffer is full, it is added to the list and a new buffer is created. The `get()` method returns a single byte buffer containing all of the data from the list of buffers."
net.minecraft.world.entity.ai.attributes.RangedAttribute,net.minecraft.world.entity.ai.attributes.RangedAttribute,Defines an entity {@linkplain net.minecraft.world.entity.ai.attributes.Attribute attribute} that is limited to a range of values.
net.minecraft.network.PacketEncoder,net.minecraft.network.PacketEncoder,Main netty packet encoder. Writes the packet ID as a VarInt based on the current {@link ConnectionProtocol} as well as the packet's data.
net.minecraft.world.level.levelgen.synth.PerlinSimplexNoise,net.minecraft.world.level.levelgen.synth.PerlinSimplexNoise,This class generates multiple octaves of simplex noise. Each individual octave is an instance of {@link net.minecraft.world.level.levelgen.synth.SimplexNoise}.\nMojang uses the term 'Perlin' to describe octaves or fBm (Fractal Brownian Motion) noise and this class does not actually generate Perlin noise.
net.minecraft.world.level.storage.loot.functions.SetItemCountFunction,net.minecraft.world.level.storage.loot.functions.SetItemCountFunction,"LootItemFunction that sets the stack's count based on a {@link NumberProvider}, optionally adding to any existing count."
net.minecraft.resources.DelegatingOps,net.minecraft.resources.DelegatingOps,A {@link DynamicOps} that delegates all functionality to an internal delegate. Comments and parameters here are copied from {@link DynamicOps} in DataFixerUpper.
net.minecraft.stats.StatType,net.minecraft.stats.StatType,"Holds a map of {@linkplain net.minecraft.stats.Stat statistics} with type {@code T} for a corresponding {@link #registry}.\n<p>\nA single type usually defines a particular thing to be counted, such as {@linkplain net.minecraft.stats.Stats#ITEM_USED the number of items used} or {@link net.minecraft.stats.Stats#BLOCK_MINED the number of blocks mined}. However, there is also a {@link net.minecraft.stats.Stats#CUSTOM custom type} which uses entries from the {@linkplain Registry#CUSTOM_STAT custom stat registry}. This is keyed by a {@link net.minecraft.resources.ResourceLocation} and can be used to count any statistic that doesn't require an associated {@link net.minecraft.core.Registry} entry.\n\n@param <T> the type of the associated registry's entry values\n@see net.minecraft.stats.Stat\n@see net.minecraft.stats.Stats\n@see net.minecraft.core.Registry#STAT_TYPE\n@see net.minecraft.core.Registry#CUSTOM_STAT"
net.minecraft.world.level.storage.loot.predicates.WeatherCheck,net.minecraft.world.level.storage.loot.predicates.WeatherCheck,A LootItemCondition that checks whether it currently raining or thundering.\nBoth checks are optional.
net.minecraft.world.level.storage.loot.providers.number.LootNumberProviderType,net.minecraft.world.level.storage.loot.providers.number.LootNumberProviderType,The SerializerType for {@link NumberProvider}.
net.minecraft.network.ConnectionProtocol,net.minecraft.network.ConnectionProtocol,Describes the set of packets a connection understands at a given point.\nA connection always starts out in state {@link #HANDSHAKING}. In this state the client sends its desired protocol using\n{@link ClientIntentionPacket}. The server then either accepts the connection and switches to the desired protocol or it disconnects the client (for example in case of an outdated client).\n\nEach protocol has a {@link PacketListener} implementation tied to it for server and client respectively.\n\nEvery packet must correspond to exactly one protocol.
net.minecraft.client.sounds.LoopingAudioStream,net.minecraft.client.sounds.LoopingAudioStream,The LoopingAudioStream class provides an AudioStream that loops indefinitely over the provided InputStream.
net.minecraft.world.level.storage.loot.predicates.LootItemRandomChanceWithLootingCondition,net.minecraft.world.level.storage.loot.predicates.LootItemRandomChanceWithLootingCondition,A LootItemCondition that does a random chance check with a bonus based on the {@linkplain EnchantmentHelper#getMobLooting looting enchantment}.
net.minecraft.client.gui.narration.NarratableEntry,net.minecraft.client.gui.narration.NarratableEntry,An interface for GUI elements that can provide narration information.
net.minecraft.world.level.chunk.storage.RegionFileStorage,net.minecraft.world.level.chunk.storage.RegionFileStorage,Handles reading and writing the {@link net.minecraft.world.level.chunk.storage.RegionFile region files} for a {@link net.minecraft.world.level.Level}.
net.minecraft.world.level.storage.loot.functions.SetLoreFunction,net.minecraft.world.level.storage.loot.functions.SetLoreFunction,"LootItemFunction that sets a stack's lore tag, optionally replacing any previously present lore.\nThe Components for the lore tag are optionally resolved relative to a given {@link LootContext.EntityTarget} for entity-sensitive component data such as scoreboard scores."
net.minecraft.world.item.enchantment.EnchantmentInstance,net.minecraft.world.item.enchantment.EnchantmentInstance,Defines an immutable instance of an enchantment and its level.
net.minecraft.world.level.storage.loot.providers.nbt.ContextNbtProvider,net.minecraft.world.level.storage.loot.providers.nbt.ContextNbtProvider,A NbtProvider that provides either the {@linkplain LootContextParams#BLOCK_ENTITY block entity}'s NBT data or an entity's NBT data based on an {@link LootContext.EntityTarget}.
net.minecraft.world.level.storage.loot.entries.LootPoolSingletonContainer,net.minecraft.world.level.storage.loot.entries.LootPoolSingletonContainer,A LootPoolEntryContainer that expands into a single LootPoolEntry.
net.minecraft.gametest.framework.BeforeBatch,net.minecraft.gametest.framework.BeforeBatch,Annotate a method with this annotation in order to have it run before the specified {@link #batch()}.
net.minecraft.network.syncher.EntityDataAccessor,net.minecraft.network.syncher.EntityDataAccessor,A Key for {@link SynchedEntityData}.
net.minecraft.world.level.storage.loot.predicates.LootItemBlockStatePropertyCondition,net.minecraft.world.level.storage.loot.predicates.LootItemBlockStatePropertyCondition,A LootItemCondition that checks whether the {@linkplain LootContextParams#BLOCK_STATE block state} matches a given Block and {@link StatePropertiesPredicate}.
net.minecraft.network.CipherEncoder,net.minecraft.network.CipherEncoder,Channel handler that handles protocol encryption.\n\n@see Connection#setEncryptionKey
net.minecraft.world.level.levelgen.Aquifer,net.minecraft.world.level.levelgen.Aquifer,"Aquifers are responsible for non-sea level fluids found in terrain generation, but also managing that different aquifers don't intersect with each other in ways that would create undesirable fluid placement.\nThe aquifer interface itself is a modifier on a per-block basis. It computes a block state to be placed for each position in the world.\n<p>\nAquifers work by first partitioning a single chunk into a low resolution grid. They then generate, via various noise layers, an {@link NoiseBasedAquifer.AquiferStatus} at each grid point.\nAt each point, the grid cell containing that point is calculated, and then of the eight grid corners, the three closest aquifers are found, by square euclidean distance.\nBorders between aquifers are created by comparing nearby aquifers to see if the given point is near-equidistant from them, indicating a border if so, or fluid/air depending on the aquifer height if not."
net.minecraft.world.level.storage.loot.LootContext$EntityTarget,net.minecraft.world.level.storage.loot.LootContext$EntityTarget,Represents a type of entity that can be looked up in a {@link LootContext} using a {@link LootContextParam}.
net.minecraft.world.level.storage.loot.providers.score.LootScoreProviderType,net.minecraft.world.level.storage.loot.providers.score.LootScoreProviderType,The SerializerType for {@link ScoreboardNameProvider}.
net.minecraft.world.level.storage.loot.functions.ApplyBonusCount,net.minecraft.world.level.storage.loot.functions.ApplyBonusCount,LootItemFunction that modifies the stack's count based on an enchantment level on the {@linkplain LootContextParams#TOOL tool} using various formulas.
net.minecraft.client.sounds.ChannelAccess$ChannelHandle,net.minecraft.client.sounds.ChannelAccess$ChannelHandle,Represents a handle to a channel.
net.minecraft.network.protocol.game.ServerGamePacketListener,net.minecraft.network.protocol.game.ServerGamePacketListener,PacketListener for the server side of the PLAY protocol.
net.minecraft.network.chat.Style,net.minecraft.network.chat.Style,"A Style for {@link Component}.\nStores color, text formatting (bold, etc.) as well as possible HoverEvent/ClickEvent."
net.minecraft.world.entity.ai.attributes.Attribute,net.minecraft.world.entity.ai.attributes.Attribute,Defines an entity attribute. These are properties of entities that can be dynamically modified.\n@see net.minecraft.core.Registry#ATTRIBUTE
com.mojang.math.SymmetricGroup3,com.mojang.math.SymmetricGroup3,"The symmetric group S3, also known as all the permutation orders of three elements."
net.minecraft.world.level.storage.loot.providers.nbt.StorageNbtProvider,net.minecraft.world.level.storage.loot.providers.nbt.StorageNbtProvider,An NbtProvider that provides NBT data from a named {@link CommandStorage}.
net.minecraft.world.level.levelgen.carver.CanyonWorldCarver,net.minecraft.world.level.levelgen.carver.CanyonWorldCarver,"A carver responsible for creating ravines, or canyons."
net.minecraft.util.RandomSource,net.minecraft.util.RandomSource,"A basic interface for random number generation. This mirrors the same methods in {@link java.util.Random}, however it does not make any guarantee that these are thread-safe, unlike {@code Random}.\nThe notable difference is that {@link #setSeed(long)} is not {@code synchronized} and should not be accessed from multiple threads.\nThe documentation for each individual method can be assumed to be otherwise the same as the identically named method in {@link java.util.Random}.\n@see java.util.Random\n@see net.minecraft.world.level.levelgen.SimpleRandomSource"
net.minecraft.world.level.storage.loot.functions.LootingEnchantFunction,net.minecraft.world.level.storage.loot.functions.LootingEnchantFunction,LootItemFunction that grows the stack's count by multiplying the {@linkplain LootContextParams#KILLER_ENTITY killer}'s looting enchantment level with some multiplier. Optionally a limit to the stack size is applied.
net.minecraft.network.CompressionEncoder,net.minecraft.network.CompressionEncoder,Handles compression of network traffic.\n\n@see Connection#setupCompression
net.minecraft.client.sounds.LoopingAudioStream$AudioStreamProvider,net.minecraft.client.sounds.LoopingAudioStream$AudioStreamProvider,A functional interface for providing an {@linkplain AudioStream} from an {@linkplain InputStream}.
net.minecraft.stats.StatFormatter,net.minecraft.stats.StatFormatter,A formatter for a {@linkplain Stat statistic}'s corresponding count.
net.minecraft.network.protocol.login.ClientLoginPacketListener,net.minecraft.network.protocol.login.ClientLoginPacketListener,PacketListener for the client side of the LOGIN protocol.
net.minecraft.network.Varint21FrameDecoder,net.minecraft.network.Varint21FrameDecoder,"Counterpart to {@link Varint21LengthFieldPrepender}. Decodes each frame (""packet"") by first reading its length and then its data."
net.minecraft.world.level.storage.loot.entries.AlternativesEntry,net.minecraft.world.level.storage.loot.entries.AlternativesEntry,A composite loot pool entry container that expands all its children in order until one of them succeeds.\nThis container succeeds if one of its children succeeds.
net.minecraft.world.level.storage.loot.providers.nbt.NbtProviders,net.minecraft.world.level.storage.loot.providers.nbt.NbtProviders,Registry for {@link NbtProvider}
net.minecraft.client.sounds.SoundManager$Preparations,net.minecraft.client.sounds.SoundManager$Preparations,The Preparations class represents the prepared sound event registrations and caches for applying to the sound manager.
net.minecraft.client.sounds.SoundManager,net.minecraft.client.sounds.SoundManager,"The SoundManager class is responsible for managing sound events and playing sounds.\nIt handles sound event registrations, caching of sound resources, and sound playback."
net.minecraft.world.level.gameevent.GameEvent,net.minecraft.world.level.gameevent.GameEvent,Describes an in game event or action that can be detected by listeners such as the Sculk Sensor block.
